key	qid	label	note
BNE MSS/11277	Q1042626	MS: Madrid: Nacional (BNE), MSS/11277. Rafael de Floranes y Encinas, señor de Tabaneros, 1778 - 1785. Pedro López de Aya	SPARQL label-contains match
BNE MSS/830	Q1039005	MS: Madrid: Nacional (BNE), MSS/830. 1451 ca. - 1475 ca. Desconocido, Crónica de Castilla, escrito 1295 ad quem.	SPARQL label-contains match
BNE MSS/2022	Q1041975	MS: Madrid: Nacional (BNE), MSS/2022. 1526 ca. - 1575 ca. Pedro López de Ayala, canciller mayor de Castilla, Libro de la	SPARQL label-contains match
BNE MSS/10883	Q1042973	MS: Madrid: Nacional (BNE), MSS/10883. Guadalupe?:, 1520 a quo - 1550 ca. Diego de Mérida, Viaje de la Tierra Santa, esc	SPARQL label-contains match
BNE MSS/10229	Q1040512	MS: Madrid: Nacional (BNE), MSS/10229. Pedro de Madrigal, 1391 ca. - 1410 ca. Alfonso XI, rey de Castilla y León, Ordena	SPARQL label-contains match
BNE MSS/10148	Q1042334	MS: Madrid: Nacional (BNE), MSS/10148. Juan Bautista Valenzuela Velázquez, obispo de Salamanca, 1591 ca. - 1610 ca. Dieg	SPARQL label-contains match
BNE MSS/12597	Q1042666	MS: Madrid: Nacional (BNE), MSS/12597. 1501 ca. - 1732-02-15. Pedro de Gracia Dei, Descendencia de los reyes de Castilla	SPARQL label-contains match
BNE MSS/9175	Q1042872	MS: Madrid: Nacional (BNE), MSS/9175. Sebastián de Orozco, 1572-05-26 a quo - 1579 ad quem. Pontius Pilatus, Carta al em	SPARQL label-contains match
BNE MSS/5644	Q1040959	MS: Madrid: Nacional (BNE), MSS/5644. Madrid:, 1450 ca. Desconocido, [Historia de las seis edades del mundo y de los cua	SPARQL label-contains match
BNE MSS/6705	Q1041058	MS: Madrid: Nacional (BNE), MSS/6705. 1696 ad quem. Desconocido, Fuero general de Navarra (Versión C) (tr. Desconocido),	SPARQL label-contains match
BNE MSS/2970	Q1041964	MS: Madrid: Nacional (BNE), MSS/2970. 1501 ca. - 1510 ca. Juan de Sahagún, Libro de las aves de caza, escrito 1453 ad qu	SPARQL label-contains match
BNE MSS/2147	Q1040001	MS: Madrid: Nacional (BNE), MSS/2147. Guadalupe: Alonso Fernández, 1481-03-07. Lanfrancus Mediolanensis, Compendio de ci	SPARQL label-contains match
BNE MSS/22189	Q1041735	MS: Madrid: Nacional (BNE), MSS/22189. 1591 ca. - 1610 ca. Pedro López de Ayala, canciller mayor de Castilla, Crónica de	SPARQL label-contains match
BNE MSS/9299	Q1040974	MS: Madrid: Nacional (BNE), MSS/9299. 1426 - 1450. Juan, Carta al muy maravilloso varón sabio abad Juan, gobernador del 	SPARQL label-contains match
BNE MSS/7403	Q1038997	MS: Madrid: Nacional (BNE), MSS/7403. 1526 ca. - 1550 ca. Desconocido, Crónica de Castilla, escrito 1295 ad quem.	SPARQL label-contains match
BNE MSS/2252	Q1039618	MS: Madrid: Nacional (BNE), MSS/2252. 1401 ca. - 1410 ca. Titus Livius, Décadas de Tito Livio (tr. Pedro López de Ayala,	SPARQL label-contains match
BNE MSS/6370	Q1041336	MS: Madrid: Nacional (BNE), MSS/6370. 1501 - 1600. Alfonso X, rey de Castilla y León, Fuero real, promulgado 1255-07-18.	SPARQL label-contains match
BNE MSS/8582	Q1042313	MS: Madrid: Nacional (BNE), MSS/8582. Estremera: Pedro de Encinas, 1503-03. Orden de Santiago de la Espada… Establecimie	SPARQL label-contains match
BNE MSS/10814	Q1039234	MS: Madrid: Nacional (BNE), MSS/10814. Benavente: Manuel Rodríguez de Sevilla, para Rodrigo Alfonso Pimentel, 2. conde d	SPARQL label-contains match
BNE MSS/10278	Q1040842	MS: Madrid: Nacional (BNE), MSS/10278. Toledo:, 1581-12-21. Diego Enríquez del Castillo, Crónica de Enrique IV, escrito 	SPARQL label-contains match
BNE MSS/10164	Q1040979	MS: Madrid: Nacional (BNE), MSS/10164. 1522-08-19 a quo. Ordo Cisterciensis, Señales pertenecientes a las cosas de la ig	SPARQL label-contains match
BNE MSS/1203	Q1042507	MS: Madrid: Nacional (BNE), MSS/1203. 1726 ca. - 1750 ca. Lope García de Salazar, señor de Torre de Salazar, Bienandanza	SPARQL label-contains match
BNE MSS/12955/70	Q1042757	MS: Madrid: Nacional (BNE), MSS/12955/70. 1501 - 1600. Cofradía de Nuestra Señora del Pilar de Sevilla, Carta de hermand	SPARQL label-contains match
BNE MSS/2328	Q1040002	MS: Madrid: Nacional (BNE), MSS/2328. 1554 a quo. Johannes de Ketham, Compendio de la salud humana (tr. Desconocido), tr	SPARQL label-contains match
BNE MSS/1530	Q1042553	MS: Madrid: Nacional (BNE), MSS/1530. Juan Gómez de Silva, 1553. Desconocido, Crónica de Castilla, escrito 1295 ad quem.	SPARQL label-contains match
BNE MSS/18631/27	Q1043678	MS: Madrid: Nacional (BNE), MSS/18631/27. Sevilla: Cristóbal Gutiérrez Calderón, 1497-08-19. Juan II, rey de Castilla y 	SPARQL label-contains match
BNE MSS/4202	Q1040250	MS: Madrid: Nacional (BNE), MSS/4202. San Cebrián de las Amayuelas: Alfonso Redondo, 1459-04-13. Iacopo da Benevento… Ve	SPARQL label-contains match
BNE MSS/6175	Q1043044	MS: Madrid: Nacional (BNE), MSS/6175. 1701 - 1800. Antonio de Barahona, Rosal de la nobleza de España, escrito 1530-12-2	SPARQL label-contains match
BNE MSS/5763	Q1043845	MS: Madrid: Nacional (BNE), MSS/5763. 1604?. Antonio de Herrera Tordesillas, Crónica de los turcos, escrito 1576-05-02 a	SPARQL label-contains match
BNE MSS/9199	Q1040970	MS: Madrid: Nacional (BNE), MSS/9199. 1401 ca. - 1450 ca. Pedro I, rey de Castilla y León, [Carta de promulgación del Or	SPARQL label-contains match
BNE MSS/11311	Q1042630	MS: Madrid: Nacional (BNE), MSS/11311. 1521 ca. - 1600. Juan Pérez de Vargas… [Libro de armería (versión tercera)], escr	SPARQL label-contains match
BNE MSS/11766	Q1042651	MS: Madrid: Nacional (BNE), MSS/11766. 1650 ca. Diego Fernández de Mendoza… [Libro de armería (versión de 1496)], escrit	SPARQL label-contains match
BNE MSS/11126	Q1042584	MS: Madrid: Nacional (BNE), MSS/11126. 1701 - 1800. Alfonso XI, rey de Castilla y León, Ordenamiento de Sevilla de 1337 	SPARQL label-contains match
BNE MSS/1600	Q1040472	MS: Madrid: Nacional (BNE), MSS/1600. Bonaventura Vulcanius, para Juan Páez de Castro, 1561-02-22 - 1561-07. Pedro López	SPARQL label-contains match
BNE MSS/12932/46	Q1042723	MS: Madrid: Nacional (BNE), MSS/12932/46. 1308-01-03. Constanza de Portugal, reina de Castilla y León, Corona de, [Carta	SPARQL label-contains match
BNE MSS/20267/4	Q1043586	MS: Madrid: Nacional (BNE), MSS/20267/4. 1273-01-07 a quo. Velasco Gómez, [Carta puebla de Velada], escrito 1273-01-07.	SPARQL label-contains match
BNE MSS/1599	Q1042966	MS: Madrid: Nacional (BNE), MSS/1599. 1701 ca. - 1750 ca. Pedro Rodríguez de Lena, [Paso honroso de Suero de Quiñones], 	SPARQL label-contains match
BNE MSS/3378	Q1041322	MS: Madrid: Nacional (BNE), MSS/3378. 1451 ca. - 1500 ca. Abu al-Wafa’ al-Mubashshir ibn Fatik, Bocados de oro (tr. Desc	SPARQL label-contains match
BNE MSS/4402	Q1040251	MS: Madrid: Nacional (BNE), MSS/4402. 1441 ca. - 1460 ca. Desconocido, Libro que trata de como se debe hombre regir en s	SPARQL label-contains match
BNE MSS/21626	Q1040984	MS: Madrid: Nacional (BNE), MSS/21626. Juan de Zapata, 1451 ca. - 1475 ca. Gullielmus Paraldus, Criamiento e enseñamient	SPARQL label-contains match
BNE MSS/22335	Q1041250	MS: Madrid: Nacional (BNE), MSS/22335. Palencia: Copista del Cancionero de Barrantes, 1474-12-11 a quo - 1480-03-20 ad q	SPARQL label-contains match
BNE MSS/23043	Q1041916	MS: Madrid: Nacional (BNE), MSS/23043. 1426 ca. - 150 ca. Despensero de la reina Leonor, Sumario de los reyes de España,	SPARQL label-contains match
BNE MSS/8598	Q1039631	MS: Madrid: Nacional (BNE), MSS/8598. Uclés?:, 1445-05-19 ad quem. Pedro López de Baeza, Dichos de los santos padres, es	SPARQL label-contains match
BNE MSS/864	Q1039040	MS: Madrid: Nacional (BNE), MSS/864. 1451 ca. - 1475 ca. Desconocido, Declaración del credo que ordenaron por Espíritu S	SPARQL label-contains match
BNE MSS/7684	Q1041067	MS: Madrid: Nacional (BNE), MSS/7684. 1501 ca. - 1550 ca. Fernán Sánchez de Valladolid, notario mayor de Castilla, Cróni	SPARQL label-contains match
BNE MSS/6427	Q1041337	MS: Madrid: Nacional (BNE), MSS/6427. 1401 ca. - 1450 ca. Colectivo, Ordenamientos reales, escrito 1200 - 1800.	SPARQL label-contains match
BNE MSS/9559	Q1039125	MS: Madrid: Nacional (BNE), MSS/9559. 1465 ca. - 1470 ca. Rodrigo Jiménez de Rada, arzobispo de Toledo ~ Desconocido… [H	SPARQL label-contains match
BNE MSS/10196	Q1039565	MS: Madrid: Nacional (BNE), MSS/10196. para Íñigo López de Mendoza, 1. marqués de Santillana?, 1445-08-08 ad quem?. Benv	SPARQL label-contains match
BNE MSS/10571	Q1040806	MS: Madrid: Nacional (BNE), MSS/10571. 1474 - 1500 ca. Bartolomé Talayero, Libro de confesión, compilado 1474.	SPARQL label-contains match
BNE MSS/10188	Q1040836	MS: Madrid: Nacional (BNE), MSS/10188. 1535-09-19. Rodrigo Jiménez de Rada, arzobispo de Toledo, [Versión general incomp	SPARQL label-contains match
BNE MSS/12732	Q1040016	MS: Madrid: Nacional (BNE), MSS/12732. Haro: Martín Sánchez de Tricio, 1433. Titus Livius, Décadas de Tito Livio (tr. Pe	SPARQL label-contains match
BNE MSS/12672	Q1039921	MS: Madrid: Nacional (BNE), MSS/12672. 1510-09-08 a quo - 1520 ca. Diego de Valera, maestresala, Doctrinal de príncipes,	SPARQL label-contains match
BNE MSS/10664	Q1042476	MS: Madrid: Nacional (BNE), MSS/10664. Madrid?:, 1788-12-14 ad quem?. Diego de Valera, maestresala, Crónica de España, e	SPARQL label-contains match
BNE MSS/12181	Q1040809	MS: Madrid: Nacional (BNE), MSS/12181. 1401 ca. - 1450 ca. Johannes Gallensis, Suma de colaciones o ayuntamientos (tr. D	SPARQL label-contains match
BNE MSS/12932/40	Q1042717	MS: Madrid: Nacional (BNE), MSS/12932/40. Burgos: Juan Díaz, 1307-09-03. Fernando IV, rey de Castilla y León, [Carta a J	SPARQL label-contains match
BNE MSS/12933/7	Q1042708	MS: Madrid: Nacional (BNE), MSS/12933/7. José Jackson Veyán, 1880 ad quem. Lucianus de Samosata, Comparación entre Aleja	SPARQL label-contains match
BNE MSS/12932/42	Q1042719	MS: Madrid: Nacional (BNE), MSS/12932/42. 1307. Alimosna Eginel, [Carta a Jaume II, sobre la estancia en Burgos de Ferna	SPARQL label-contains match
BNE MSS/12932/45	Q1042722	MS: Madrid: Nacional (BNE), MSS/12932/45. 1308-01-14. Sancho Sánchez de Velasco, [Carta a Jaume II, sobre el pago de cua	SPARQL label-contains match
BNE MSS/1496	Q1043364	MS: Madrid: Nacional (BNE), MSS/1496. 1525 a quo. Ibn al-Jatib de Loja, visir de Reino nazarí de Granada, Carta del rey 	SPARQL label-contains match
BNE MSS/18635/32	Q1042729	MS: Madrid: Nacional (BNE), MSS/18635/32. Burgos:, 1314-01-31. Juan de Castilla, infante de Castilla y León, Corona de, 	SPARQL label-contains match
BNE MSS/18696/17	Q1042738	MS: Madrid: Nacional (BNE), MSS/18696/17. Toledo: Domingo Guillén, para Beatriz de Portugal, 1281-04-22. Beatriz de Cast	SPARQL label-contains match
BNE MSS/268	Q1041936	MS: Madrid: Nacional (BNE), MSS/268. 1651 ca. - 1750 ca. Isabel I, reina de Castilla y León, Corona de, Testamento, escr	SPARQL label-contains match
BNE MSS/20262/15	Q1043684	MS: Madrid: Nacional (BNE), MSS/20262/15. Medina del Campo: Juan González de Ciudad Real, 1448-04-07. Juan II, rey de Ca	SPARQL label-contains match
BNE MSS/4114	Q1038955	MS: Madrid: Nacional (BNE), MSS/4114. 1750 ca. Colectivo… Cancionero de Pero Guillén de Segovia y otros [MN19], escrito 	SPARQL label-contains match
BNE MSS/4183	Q1040143	MS: Madrid: Nacional (BNE), MSS/4183. Andújar: Bartolomé de Alcaraz, para Pedro de Escavias, alcaide de Andújar, 1472-08	SPARQL label-contains match
BNE MSS/8041	Q1040775	MS: Madrid: Nacional (BNE), MSS/8041. Oña?: para San Salvador de Oña, 1504 a quo. Desconocido, Devoción muy probada para	SPARQL label-contains match
BNE MSS/3666	Q1039647	MS: Madrid: Nacional (BNE), MSS/3666. Gonzalo Cordubense, 1444-03-17 a quo. Homerus, Sumas de la Ilíada de Homero (tr. J	SPARQL label-contains match
BNE MSS/9608	Q1039281	MS: Madrid: Nacional (BNE), MSS/9608. 1401 - 1455 ad quem. Sextus Iulius Frontinus, Libro llamado Julio Frontino (tr. De	SPARQL label-contains match
BNE MSS/8567	Q1039642	MS: Madrid: Nacional (BNE), MSS/8567. 1437 a quo - 1440 ca. Pedro Díaz de Toledo, señor de Olmedilla, [Introducción y gl	SPARQL label-contains match
BNE MSS/3468	Q1039149	MS: Madrid: Nacional (BNE), MSS/3468. 1401 - 1500. Teodorico Borgognoni, Libro de los caballos (tr. Desconocido), traduc	SPARQL label-contains match
BNE MSS/10386	Q1042480	MS: Madrid: Nacional (BNE), MSS/10386. 1701 - 1800. Rodrigo del Padrón, arzobispo de Santiago de Compostela, Ordenamient	SPARQL label-contains match
BNE MSS/10131	Q1039509	MS: Madrid: Nacional (BNE), MSS/10131. Avignon: Bernardo de Jaca, para Juan Fernández de Heredia, gran maestre de Rodas,	SPARQL label-contains match
BNE MSS/10825	Q1042581	MS: Madrid: Nacional (BNE), MSS/10825. Francisco de Ojeda?, 1544. Ramon de Perellós, 1. vescomte de Perellós, Viaje mara	SPARQL label-contains match
BNE MSS/11439	Q1042635	MS: Madrid: Nacional (BNE), MSS/11439. 1755-03-10. Pedro de Gracia Dei, Blasón general de todas las insignias del univer	SPARQL label-contains match
BNE MSS/10648	Q1042487	MS: Madrid: Nacional (BNE), MSS/10648. 1701 - 1800. Juan I, rey de Castilla y León, Ordenamiento de Valladolid de 1385, 	SPARQL label-contains match
